TunnelDirection,Overbunden,RockType1,Color1,RockType2,Color2,RockType3,Color3,RockType4,Color4,Stringer,Degree of Weathering,Strike,Dip Angle,JointSpacing,NumberOfSpacing,Persistence,Aperture,Roughness,Infilling,Groundwater,Class
42,20.10,Biotite granite,"Light Gray, White, Gray",None,None,Biotite granite,"Light Gray, White, Gray",None,None,None,Moderately,20,75,<6,10,<1,1-5,Slightly rough,None,Complete Dry,III Fair Rock 
42,24.22,Biotite granite,"Light Gray, White, Gray",None,None,Biotite granite,"Light Gray, White, Gray",None,None,None,Moderately,25,80,<6,13,<1,1-5,Slightly rough,Highly filling,Complete Dry,III Fair Rock 
42,24.81,Biotite granite,"Light Gray, White, Gray",None,None,Biotite granite,"Light Gray, White, Gray",None,None,None,Moderately,15,70,6-20,17,<1,1-5,Slightly rough,Highly filling,Complete Dry,III Fair Rock 
42,25.42,Biotite granite,"Light Gray, White, Gray",None,None,Biotite granite,"Light Gray, White, Gray",None,None,None,Moderately,25,85,6-20,22,<1,1-5,Slightly rough,None,Complete Dry,III Fair Rock 
42,26.00,Biotite granite,"Light Gray, White, Gray",None,None,Biotite granite,"Light Gray, White, Gray",None,None,None,Moderately,25,75,6-20,21,<1,1-5,Slightly rough,Highly filling,Complete Dry,III Fair Rock 
42,26.65,Biotite granite,"Light Gray, White, Gray",None,None,Biotite granite,"Light Gray, White, Gray",None,None,None,Moderately,15,70,6-20,19,<1,1-5,Slightly rough,Highly filling,Complete Dry,III Fair Rock 
42,27.26,Biotite granite,"Light Gray, White, Gray",None,None,Biotite granite,"Light Gray, White, Gray",None,None,None,Fresh rock to slightly,23,85,6-20,30,<1,1-5,Slightly rough,Highly filling,Complete Dry,III Fair Rock 
42,27.36,Biotite granite,"Light Gray, White, Gray",None,None,Biotite granite,"Light Gray, White, Gray",None,None,None,Moderately,25,75,6-20,20,<1,0.1-1,Slightly rough,Highly filling,Damp,III Fair Rock 
42,27.66,Biotite granite,"Light Gray, White, Gray",None,None,Biotite granite,"Light Gray, White, Gray",None,None,None,Moderately,25,70,6-20,25,<1,1-5,Slightly rough,None,Complete Dry,III Fair Rock 
42,27.96,Biotite granite,"Light Gray, White, Gray",None,None,Biotite granite,"Light Gray, White, Gray",None,None,None,Moderately,20,75,6-20,10,<1,1-5,Slightly rough,None,Damp,III Fair Rock 
42,28.10,Biotite granite,"Light Gray, White, Gray",None,None,Biotite granite,"Light Gray, White, Gray",None,None,None,Moderately,30,75,6-20,18,<1,0.1-1,Slightly rough,None,Damp,III Fair Rock 
42,28.16,Biotite granite,"Light Gray, White, Gray",None,None,Biotite granite,"Light Gray, White, Gray",None,None,None,Moderately,30,70,6-20,13,<1,1-5,Slightly rough,None,Damp,III Fair Rock 
42,28.26,Biotite granite,"Light Gray, White, Gray",None,None,Biotite granite,"Light Gray, White, Gray",None,None,None,Moderately,30,70,<6,3,<1,1-5,Slightly rough,None,Complete Dry,III Fair Rock 
42,28.36,Biotite granite,"Light Gray, White, Gray",None,None,Biotite granite,"Light Gray, White, Gray",None,None,None,Moderately,30,70,<6,7,<1,1-5,Slightly rough,None,Complete Dry,III Fair Rock 
42,28.66,Biotite granite,"Light Gray, White, Gray",None,None,Biotite granite,"Light Gray, White, Gray",None ,None,None,Moderately,30,70,<6,12,<1,1-5,Slightly rough,None,Complete Dry,III Fair Rock 
42,29.00,Biotite granite,"Light Gray, White, Gray",None,None,Biotite granite,"Light Gray, White, Gray",None ,None,None,Moderately,30,70,6-20,7,<1,1-5,Slightly rough,None,Complete Dry,II Good Rock
42,29.89,Biotite granite,"Light Gray, White, Gray",None,None,Biotite granite,"Light Gray, White, Gray",None ,None,None,Moderately,30,70,6-20,17,<1,1-5,Slightly rough,None,Complete Dry,III Fair Rock 
42,35.97,Biotite granite,"Light Gray, White, Gray",None,None,Biotite granite,"Light Gray, White, Gray",None ,None,None,Fresh rock to slightly,30,80,6-20,4,<1,1-5,Slightly rough,None,Complete Dry,II Good Rock
42,37.15,Biotite granite,"Light Gray, White, Gray",None,None,Biotite granite,"Light Gray, White, Gray",None ,None,None,Fresh rock to slightly,30,80,6-20,11,<1,1-5,Slightly rough,None,Complete Dry,II Good Rock
